true_negative,false_positive,false_negative,true_positive,iou,dice,hd,hd95,filename,gt_filename,image_id
248677,371,1963,11133,0.8266874582312319,0.9051219512195122,20.0,13.0,ISIC_0003728_mask.png,ISIC_0003728.png,ISIC_0003728
144489,0,20711,96944,0.823968382134206,0.9034897646307765,39.293766021728516,30.5941162109375,ISIC_0000022_mask.png,ISIC_0000022.png,ISIC_0000022
158073,4985,1095,97991,0.9415783455525555,0.9699102255743287,21.21320343017578,11.045360565185547,ISIC_0011177_mask.png,ISIC_0011177.png,ISIC_0011177
189310,0,22066,50768,0.697037098058599,0.8214753806572709,47.01063537597656,38.20863723754883,ISIC_0000392_mask.png,ISIC_0000392.png,ISIC_0000392
252884,29,2108,7123,0.7692224622030237,0.869559909662455,13.416407585144043,10.770329475402832,ISIC_0006711_mask.png,ISIC_0006711.png,ISIC_0006711
218786,2482,606,40270,0.9287790027215277,0.9630745683263978,13.601470947265625,10.611166954040527,ISIC_0000319_mask.png,ISIC_0000319.png,ISIC_0000319
222964,63,2892,36225,0.9245788667687596,0.9608116172667595,12.806248664855957,8.9442720413208,ISIC_0010587_mask.png,ISIC_0010587.png,ISIC_0010587
214454,74,4378,43238,0.9066470958272175,0.951038184057716,19.0,12.083045959472656,ISIC_0009881_mask.png,ISIC_0009881.png,ISIC_0009881
68164,8194,764,185022,0.9538199814413857,0.9763642408219482,83.0,22.0,ISIC_0000160_mask.png,ISIC_0000160.png,ISIC_0000160
16670,14596,3698,227180,0.9254747957013777,0.961295154595116,145.1688690185547,62.666847229003906,ISIC_0011300_mask.png,ISIC_0011300.png,ISIC_0011300
196034,672,11166,54272,0.8209348056269853,0.901663039324816,43.046485900878906,34.438350677490234,ISIC_0009898_mask.png,ISIC_0009898.png,ISIC_0009898
130849,0,15855,115440,0.8792414029475608,0.9357407745151681,26.4007568359375,19.84943389892578,ISIC_0000066_mask.png,ISIC_0000066.png,ISIC_0000066
